US State,C1,C2,C3,C4,C5,C6,C7,C8,C9
Indiana,0.20342279060002036,0.05373806322199928,0.9190816072964769,0.0648120067321049,-0.4782568081246575,1.6499558211676002,0.1450995761882034,1.9935238821126966,0.4286121003047084
Iowa,-0.4497475011167354,0.28474805210875087,-0.493137280848721,-0.21934018771761324,-0.4945353375142741,0.553491392133105,0.9738704404439785,-0.2539987141200225,0.2830060094958363
Kansas,-0.4838161502006102,-0.014478937437917208,0.14277953958989203,-0.2411099262822633,0.17107374788222024,0.09666188660078416,-0.8143547851685367,0.8850423183574077,-0.5286194209187951
Kentucky,-0.11991191487558542,-0.27927456991835903,0.4736180130557071,-0.1972886226627998,-0.2577751395848899,2.008830025944745,-0.43421747792652127,1.458811014509369,1.1141121843313762
Louisiana,-0.15231330042965735,-0.05244861266382654,0.47144799505858714,0.8473996337142049,-0.6726878908116576,-0.35150025991562117,0.9653710800187739,-0.4648786177509312,-0.6979629044431298
Maine,-0.7164780274051769,0.05185130809315909,-0.1476147457069356,0.004672795260677851,-0.37681208113888115,-0.15040506687065186,-0.24939095296362537,-0.24371666674387205,0.48226878698169184
Maryland,-0.18750132349218462,-0.7193739769453079,-0.1350701132548223,-0.37785551382149646,-0.7797175717234247,-2.4128218442949088,-0.372879157174399,0.40700193402724816,-0.6481360808935062
Massachusetts,-0.043325835468311244,-1.2163979568470877,-0.09958037676167816,0.8009656504556607,-0.08027403968596472,0.4683342143771983,-0.9856290357928372,-0.7317633949285787,3.061189236316038
Michigan,0.7576302304105111,-0.24841256387795588,0.43422768409242823,0.2005642601515507,-0.6094212084485263,1.0564672231825083,2.493024498834382,-0.866153929614665,-0.8742976324117377
Minnesota,-0.2270245393349491,0.8472392653802229,-0.41895855345615296,-0.139582330717941,-0.28656027156879826,-0.04532139722882461,0.3995362719472002,-0.5124588816068585,2.6065661878273763
Mississippi,-0.3547713050707079,-0.21938814104325438,-0.1754111693656393,0.6303807083870234,-1.0507098818871834,0.49142600216157056,-0.0007115263901807848,1.1558223549732423,-1.3076759751068956
Missouri,0.17934103450037572,-0.3857011945395355,0.9375160744288853,0.5831218167959674,0.8017674196927231,1.1062965416401156,-0.7138857035583948,-1.0019761879071323,-0.6738853116035182
Montana,-0.7920423161600915,0.1778725323578625,-0.11090160823030215,-0.3358555725360974,0.269152650194866,-0.4108705013871491,-0.22891530686722936,0.007641206494228152,-0.3578427491546978
Nebraska,-0.6781632210679985,0.02972104386015217,-0.3730500883009823,-0.19315798733072734,-0.4819221699556637,0.3182397372040494,-0.12771518142779048,0.5160681943287846,-0.10580934915007048
Nevada,-0.5256308627973842,-0.00950596919934654,-0.30767638236213957,-0.688641485737845,1.4240579748057678,0.005842324848818111,-0.43504292923652677,-0.8967253084029513,-0.807134619646703
New Hampshire,-0.7683260419630197,0.0860229820961006,-0.19981538415646802,-0.13561466544344972,-0.06906696063415034,-0.3935976966550087,0.18723773017751785,0.0033063896869684026,0.19441843309232662
New Jersey,0.22853478134776428,-1.0352627966230699,0.3907103203798768,1.1909559077235763,-1.5213335103130246,-1.1744963260134802,2.728106831841791,-0.4467511484761631,1.3288715979495773
New Mexico,-0.6377973355678885,0.18767916877439703,0.03966989023733976,-0.2809587283406797,0.5832652509715566,-0.5844648077071402,-0.48075279212821165,1.2268431278134149,-0.7177711941921869
New York,1.5480709659820195,-4.841468843869404,-2.38187743122032,-1.5437417792183585,2.4231349007695777,0.20754146984434674,1.393311935180959,0.37961760677765904,0.10927867170180874
